,Statement,Link,Date,Source,Label
118,Says Facebook “is banning Trump from advertising for president.”,https://www.politifact.com/factchecks/2020/sep/23/facebook-posts/no-facebook-hasnt-banned-trump-advertising/,2020-09-23,Facebook posts,false
119,"""Biden wants to end Shareholder Capitalism.. that's your 401k..your pensions.. your retirement.. are you voting for that???""",https://www.politifact.com/factchecks/2020/sep/23/facebook-posts/no-biden-doesnt-want-dissolve-stock-market/,2020-09-23,Facebook posts,barely-true
120,"A clip of Joe Biden shows him reading a response to an interview question from a teleprompter, saying “I lost that line.”",https://www.politifact.com/factchecks/2020/sep/23/instagram-posts/no-biden-wasnt-reading-pre-written-response-questi/,2020-09-23,Instagram posts,pants-fire
121,“24 of every 100 kids in school today speak Spanish.”,https://www.politifact.com/factchecks/2020/sep/23/joe-biden/fact-checking-bidens-claim-about-number-students-w/,2020-09-23,Joe Biden,half-true
122,Photos show children in cages.,https://www.politifact.com/factchecks/2020/sep/23/viral-image/these-photos-show-art-installation-not-real-childr/,2020-09-23,Viral image,false
123,Says “some people in the Great State of North Carolina have been sent TWO BALLOTS. RIGGED ELECTION in waiting!”,https://www.politifact.com/factchecks/2020/sep/22/donald-trump/trump-exaggerates-north-carolina-ballot-mishap/,2020-09-22,Donald Trump,barely-true
124,“Joe Biden completely botches the Pledge of Allegiance.”,https://www.politifact.com/factchecks/2020/sep/22/tweets/no-biden-didnt-botch-pledge/,2020-09-22,Tweets,false
125,On whether to nominate and confirm a Supreme Court justice in a presidential election year,https://www.politifact.com/factchecks/2020/sep/22/tammy-baldwin/baldwin-flip-flops-scotus-nominations-presidential/,2020-09-22,Tammy Baldwin,full-flop
126,On whether to nominate and confirm a Supreme Court justice in a presidential election year,https://www.politifact.com/factchecks/2020/sep/22/ron-johnson/johnson-flip-flops-scotus-nominations-presidential/,2020-09-22,Ron Johnson,full-flop
127,"“Putting a national lockdown, stay-at-home orders, is like house arrest. Other than slavery, which was a different kind of restraint, this is the greatest intrusion on civil liberties in American history.""",https://www.politifact.com/factchecks/2020/sep/22/william-barr/covid-19-rules-second-only-slavery-civil-liberties/,2020-09-22,William Barr,false
128,“Facebook is creating these #firstborn and #secondborn challenges so the IRS can confirm who y’all claiming on them taxes as dependents.”,https://www.politifact.com/factchecks/2020/sep/22/facebook-posts/no-evidence-social-media-challenge-irs-scheme-catc/,2020-09-22,Facebook posts,false
129,Says “Ruth Bader Ginsburg was nominated and confirmed 43 days before an election.”,https://www.politifact.com/factchecks/2020/sep/22/facebook-posts/no-ruth-bader-ginsburg-wasnt-confirmed-supreme-cou/,2020-09-22,Facebook posts,false
130,“82% of Americans...would experience a tax increase if Biden were elected.”,https://www.politifact.com/factchecks/2020/sep/22/bob-good/bob-good-misrepresents-joe-bidens-tax/,2020-09-22,Bob Good,false
131,"“We indicted someone in Texas, 1,700 ballots collected from people who could vote, he made them out and voted for the person he wanted to.”",https://www.politifact.com/factchecks/2020/sep/22/william-barr/doj-didnt-indict-someone-texas-fraudulently-castin/,2020-09-22,William Barr,false
132,Photo shows Jacob Blake’s “14-year-old rape victim.”,https://www.politifact.com/factchecks/2020/sep/22/viral-image/photo-doesnt-show-jacob-blake-rape-victim/,2020-09-22,Viral image,false
133,“The Trump campaign asked that I release the list (of potential Supreme Court nominees) only after (Ruth Bader Ginsburg) passed away.”,https://www.politifact.com/factchecks/2020/sep/22/joe-biden/bidens-false-claim-about-when-trump-campaign-calle/,2020-09-22,Joe Biden,false
134,On confirming a Supreme Court nominee in a presidential election year.,https://www.politifact.com/factchecks/2020/sep/22/mitch-mcconnell/mitch-mcconnell-flip-flops-considering-supreme-cou/,2020-09-22,Mitch McConnell,full-flop
135,On confirming a Supreme Court nominee in a presidential election year.,https://www.politifact.com/factchecks/2020/sep/22/charles-schumer/chuck-schumer-flip-flops-considering-supreme-court/,2020-09-22,Charles Schumer,full-flop
136,"Says Sarah Jeong said, ""We need a castration lottery for white men. Every month we pull a birthday, sort the excess and snip some sacks, preferably in a big public gathering.""",https://www.politifact.com/factchecks/2020/sep/22/brian-kolfage/no-journalist-sarah-jeong-never-called-castration-/,2020-09-22,Brian Kolfage,false
137,A Time magazine cover shows Donald Trump looking at a child in a cage.,https://www.politifact.com/factchecks/2020/sep/21/viral-image/doctored-time-cover-shows-trump-looking-child-cage/,2020-09-21,Viral image,false
138,The man in a mugshot is “responsible for lighting 32 of the wildfires” on the West Coast.,https://www.politifact.com/factchecks/2020/sep/21/facebook-posts/no-man-wasnt-arrested-lighting-32-wildfires-west-c/,2020-09-21,Facebook posts,false
139,A Time magazine cover calls Donald Trump the “Worst. President. Ever.”,https://www.politifact.com/factchecks/2020/sep/21/viral-image/fake-donald-trump-time-cover-spreads-social-media/,2020-09-21,Viral image,pants-fire
140,“PHIL MURPHY ONLY ALLOWING IN PERSON VOTING ON Election Day AT PRUDENTIAL CENTER IN NEWARK NJ - Calling it a #SuperPollingStation”,https://www.politifact.com/factchecks/2020/sep/21/facebook-posts/no-prudential-center-newark-not-only-person-pollin/,2020-09-21,Facebook posts,barely-true
141,On confirming a Supreme Court justice nominee in a presidential election year.,https://www.politifact.com/factchecks/2020/sep/21/lindsey-graham/sen-lindsey-graham-flip-flops-filling-supreme-cour/,2020-09-21,Lindsey Graham,full-flop
142,"Says John F. Kennedy said, ""If a Supreme Court Justice died one day before the election, it would be more Constitutional to indefinitely postpone the election than postpone the confirmation a single day.""",https://www.politifact.com/factchecks/2020/sep/21/viral-image/no-evidence-jfk-suggested-postponing-election-inde/,2020-09-21,Viral image,false
143,"“Nearly 2 out of 3 Americans want to reduce legal immigration from 1 million per year down to 500,000 or less.”",https://www.politifact.com/factchecks/2020/sep/21/numbers-usa/fact-checking-facebook-post-about-polling-legal-im/,2020-09-21,NumbersUSA,half-true
144,"""Candidate Slotkin had presented herself as a moderate and as someone who’d be independent-minded, but her time in office was making it increasingly clear that no, she was very partisan, voting 96% of the time with Speaker Pelosi.""",https://www.politifact.com/factchecks/2020/sep/21/paul-junge/fact-checking-rep-elissa-slotkins-record-bipartisa/,2020-09-21,Paul Junge,barely-true
145,“There's no court session between now and the end of this election.”,https://www.politifact.com/factchecks/2020/sep/21/joe-biden/biden-wrong-say-supreme-court-has-no-session-elect/,2020-09-21,Joe Biden,false
146,Students no longer say the Pledge of Allegiance in schools.,https://www.politifact.com/factchecks/2020/sep/21/viral-image/students-still-say-pledge-schools/,2020-09-21,Viral image,false
147,"""This Is Real: Biden Waves To An Empty Field.""",https://www.politifact.com/factchecks/2020/sep/21/facebook-posts/no-biden-didnt-wave-empty-field-florida/,2020-09-21,Facebook posts,false
148,"“4 republican senators now on board...no vote until January on (Supreme Court): Murkowski, Romney, Collins, Grassley.”",https://www.politifact.com/factchecks/2020/sep/20/facebook-posts/facebook-post-wrong-four-gop-senators-are-already-/,2020-09-20,Facebook posts,false
149,"Says Ruth Bader Ginsburg tweeted, “I have information that will lead to the arrest of Hillary Clinton.”",https://www.politifact.com/factchecks/2020/sep/20/instagram-posts/dont-believe-faked-ruth-bader-ginsburg-tweet-about/,2020-09-20,Instagram posts,pants-fire
150,"""If the president had done his job, had done his job from the beginning, all the people would still be alive. All the people. I'm not making this up. Just look at the data.""",https://www.politifact.com/factchecks/2020/sep/18/joe-biden/joe-biden-wrongly-claims-trump-couldve-prevented-e/,2020-09-18,Joe Biden,false
151,"“Last year alone, 10 million fell ill from TB and 1.5 million died. ... Why don’t we wear masks for TB?”",https://www.politifact.com/factchecks/2020/sep/18/viral-image/post-misleads-about-covid-19-using-tuberculosis-da/,2020-09-18,Viral image,barely-true
152,"Says that to help people in need during the coronavirus pandemic, Mike Garcia said: ""Everyone should have to figure out how to fend for themselves.""",https://www.politifact.com/factchecks/2020/sep/18/democratic-congressional-campaign-committee/ad-invokes-covid-claiming-garcia-said-people-shoul/,2020-09-18,Democratic Congressional Campaign Committee,barely-true
153,“A portion of everything you pay A.A.R.P goes directly to the Democratic Party.”,https://www.politifact.com/factchecks/2020/sep/18/facebook-posts/no-aarp-isnt-sending-money-democratic-party/,2020-09-18,Facebook posts,false
154,"“Epstein dies while in custody, his private banker is found dead, a judge had a trial regarding Epstein and the Deutsche Bank. Her son has been killed now and her husband has been shot. The shooter who shot the son and shot the judge’s husband has now also been found dead.”",https://www.politifact.com/factchecks/2020/sep/18/viral-image/facebook-post-conflates-epsteins-suicide-and-recen/,2020-09-18,Viral image,false
155,"Quotes Kamala Harris as saying “Take the guns first. Go through due process second, I like taking the guns early.”",https://www.politifact.com/factchecks/2020/sep/18/facebook-posts/kamala-harris-didnt-say-take-guns-first-go-through/,2020-09-18,Facebook posts,pants-fire
156,"When President Donald Trump walked across Lafayette Square to a church, he held the Bible upside down.",https://www.politifact.com/factchecks/2020/sep/18/joe-biden/joe-biden-wrong-about-donald-trump-holding-bible-u/,2020-09-18,Joe Biden,pants-fire
157,“Bill Gates says you don't have a choice to be vaccinated or not.”,https://www.politifact.com/factchecks/2020/sep/18/youtube-videos/youtube-video-takes-bill-gates-out-context-coronav/,2020-09-18,YouTube videos,false
158,“Kim Martin Morrow the CEO of Netflix has just been charged with 15 charges for child pornography”,https://www.politifact.com/factchecks/2020/sep/18/viral-image/no-netflixs-ceo-wasnt-charged-15-counts-child-porn/,2020-09-18,Viral image,false
159,Says he authored legislation “to guarantee coverage to people with pre-existing conditions -- no matter what happens to Obamacare.”,https://www.politifact.com/factchecks/2020/sep/18/cory-gardner/gardners-bill-has-more-do-politics-preexisting-con/,2020-09-18,Cory Gardner,false
160,“CBS stole a photo from Latinos for Trump in Phoenix and tagged it as a Biden event.”,https://www.politifact.com/factchecks/2020/sep/18/facebook-posts/no-cbs-evening-news-didnt-pass-trump-supporters-cr/,2020-09-18,Facebook posts,false
161,“CDC Director Robert Redfield says healthy people should NOT wear masks.”,https://www.politifact.com/factchecks/2020/sep/18/instagram-posts/cdc-director-says-healthy-people-should-wear-masks/,2020-09-18,Instagram posts,false
162,"“Over three months after receiving CARES Act relief funds from the state, the county has still not made those dollars available to help struggling Mid-Missourians.”",https://www.politifact.com/factchecks/2020/sep/18/caleb-rowden/rowdens-right-cares-act-funds-werent-paid-out/,2020-09-18,Caleb Rowden,true
163,“Nobody is found dead of corona in their homes.. They all die at the hospital.”,https://www.politifact.com/factchecks/2020/sep/18/facebook-posts/people-have-died-covid-19-home/,2020-09-18,Facebook posts,false
164,An antifa flyer encourages activists “to disguise yourselves as patriots/Trump supporters” on Nov. 4.,https://www.politifact.com/factchecks/2020/sep/18/viral-image/no-antifa-activists-arent-disguising-themselves-tr/,2020-09-18,Viral image,false
165,"“So far, out of 175 arrested in Kenosha, 102 were not from Kenosha. Rioting has become its own industry.”",https://www.politifact.com/factchecks/2020/sep/18/facebook-posts/nearly-all-arrests-kenosha-protests-were-local/,2020-09-18,Facebook posts,barely-true
166,Says Donald Trump funded a Veterans Day parade 26 years ago in New York City after the city refused to pay.,https://www.politifact.com/factchecks/2020/sep/17/facebook-posts/rump-credited-saving-1995-veterans-day-parade-nyc-/,2020-09-17,Facebook posts,mostly-true
167,“This is what Kamala Harris thinks about young Americans … ‘They are stupid!’”,https://www.politifact.com/factchecks/2020/sep/17/facebook-posts/kamala-harris-quote-calling-young-people-stupid-mi/,2020-09-17,Facebook posts,half-true
168,“McDonald’s removes their American flags in support of Antifa & BLM nationwide.”,https://www.politifact.com/factchecks/2020/sep/17/facebook-posts/no-mcdonalds-didnt-remove-american-flags-support-a/,2020-09-17,Facebook posts,false
169,“James Comey has 50 counts of TREASON. And John Brennan has 48 counts of TREASON.”,https://www.politifact.com/factchecks/2020/sep/17/facebook-posts/no-james-comey-and-john-brennan-havent-been-charge/,2020-09-17,Facebook posts,false
170,“Iran has stockpiled 10 times as much enriched uranium as it had” in 2016.,https://www.politifact.com/factchecks/2020/sep/17/joe-biden/joe-biden-says-under-donald-trump-irans-uranium-st/,2020-09-17,Joe Biden,true
171,"""There are hit squads being trained all over this country” to violently oppose a second term for President Donald Trump.",https://www.politifact.com/factchecks/2020/sep/17/michael-caputo/fact-checking-trump-health-aides-unproven-hit-squa/,2020-09-17,Michael Caputo,false
172,"“This virus, COVID-19 SARS-CoV-2 virus, actually is not from nature. It is a man-made virus created in the lab.”",https://www.politifact.com/factchecks/2020/sep/16/li-meng-yan/tucker-carlson-guest-airs-debunked-conspiracy-theo/,2020-09-16,Li-Meng Yan,pants-fire
173,Selene Delgado Lopez is “everyone’s friend in Facebook.”,https://www.politifact.com/factchecks/2020/sep/16/viral-image/no-selene-delgado-lopez-isnt-everyones-facebook-fr/,2020-09-16,Viral image,false
174,"“Here is the fire drone video that Twitter, Google, and YouTube didn't want us to see.”",https://www.politifact.com/factchecks/2020/sep/16/tweets/twitter-video-does-not-show-drone-starting-west-co/,2020-09-16,Tweets,false
175,"If Joe Biden steps down, Nancy Pelosi will become vice president.",https://www.politifact.com/factchecks/2020/sep/16/facebook-posts/pelosi-wouldnt-automatically-become-vice-president/,2020-09-16,Facebook posts,false
176,“The number of ICU beds is larger in Boone County by a factor of three” compared to Orange County for the University of North Carolina.,https://www.politifact.com/factchecks/2020/sep/16/mun-choi/mun-chois-numbers-are-when-it-comes-icu-beds-aroun/,2020-09-16,Mun Choi,false
177,“You people hate on Trump but he put on a child protective force that found over 300 missing kids in less than 30 days.”,https://www.politifact.com/factchecks/2020/sep/16/facebook-posts/no-trump-doesnt-have-child-protective-force-search/,2020-09-16,Facebook posts,false
178,"""USPS currently has the most cash on hand in its history, (approximately) $15 billion.""",https://www.politifact.com/factchecks/2020/sep/16/josh-hawley/us-postal-service-has-most-cash-hand-though-debt-s/,2020-09-16,Josh Hawley,mostly-true
179,“Wisconsin is one of the nine states with the highest rate of infection per capita.”,https://www.politifact.com/factchecks/2020/sep/16/tony-evers/wisconsin-trending-poorly-covid-19-cases-evers-sta/,2020-09-16,Tony Evers,mostly-true
180,"The same deputy who got shot through her jaw in Saturday’s shooting is the same officer seen on video laughing and smirking at the scene of security guard Andres Guardado’s death after he was shot and killed by LASD officers on June 18th, 2020.”",https://www.politifact.com/factchecks/2020/sep/16/instagram-posts/lacking-evidence-posts-falsely-tie-ambushed-deputy/,2020-09-16,Instagram posts,false
181,Says Joe Biden played N.W.A.’s “F--- Tha Police” during an event in Florida.,https://www.politifact.com/factchecks/2020/sep/16/donald-trump/trump-retweets-manipulated-video-falsely-suggestin/,2020-09-16,Donald Trump,pants-fire
182,Map shows that wildfires stop at the US.-Canada border.,https://www.politifact.com/factchecks/2020/sep/15/viral-image/no-wildfires-dont-stop-us-canada-border/,2020-09-15,Viral image,false
183,“Houston Texans coming out for the Black National Anthem then going into the locker room for THE REAL NATIONAL ANTHEM is DISGRACEFUL.”,https://www.politifact.com/factchecks/2020/sep/15/facebook-posts/houston-texans-stayed-their-locker-room-both-songs/,2020-09-15,Facebook posts,barely-true
184,"West Coast wildfires are due to “bad forest maintenance,” not climate change.",https://www.politifact.com/factchecks/2020/sep/15/facebook-posts/climate-change-created-conditions-west-coast-fires/,2020-09-15,Facebook posts,false
185,A CNN headline reads: “Members of Crip gang volunteer to fight wildfires after sky turns red.”,https://www.politifact.com/factchecks/2020/sep/15/instagram-posts/made-cnn-headline-about-crips-fighting-wildfires-s/,2020-09-15,Instagram posts,false
186,"Says a Twitter account for ""Scarsdale NY Antifa"" tweeted that ""chapters of Antifa around Oregon have collaborated to ignite fires around the state.""",https://www.politifact.com/factchecks/2020/sep/15/facebook-posts/false-antifa-fire-claims-suspended-twitter-account/,2020-09-15,Facebook posts,false
187,"Says a photo shows an ambushed Los Angeles police officer and that the NFL intends to “honor and praise the organization” that stood outside of the hospital chanting, “We hope she dies.”",https://www.politifact.com/factchecks/2020/sep/14/facebook-posts/facebook-post-uses-fake-photo-ambushed-la-deputy-s/,2020-09-14,Facebook posts,false
188,"""All evidence points to the fact that our kids are 17 times more likely to have ill effects from the seasonal flu than they are from the coronavirus.”",https://www.politifact.com/factchecks/2020/sep/14/dan-forest/north-carolinas-dan-forest-cherry-picks-data-kids-/,2020-09-14,Dan Forest,barely-true
189,“CDC announces that ordinary (non-N95) masks (which most people are wearing) will do nothing to protect you against wildfire smoke … Fun fact: smoke particles are far larger than SARS-CoV-2 particles.”,https://www.politifact.com/factchecks/2020/sep/14/facebook-posts/face-masks-wildfire-smoke-protection-and-covid-19-/,2020-09-14,Facebook posts,false
190,"""ANTIFA is now carrying chain saws, and cutting down utility poles, and starting more fires.""",https://www.politifact.com/factchecks/2020/sep/14/facebook-posts/antifa-not-cutting-down-utility-poles-start-fires-/,2020-09-14,Facebook posts,false
191,"“In 1983, Joe Biden voted in favor of taxing 50% of Social Security” and in 1993, Biden “was the deciding vote in raising the percentage taxed on Social Security from 50% to 85%.”",https://www.politifact.com/factchecks/2020/sep/14/facebook-posts/what-attack-about-bidens-votes-social-security-omi/,2020-09-14,Facebook posts,half-true
192,Says Sen. Martha McSally “supported a plan to turn Medicare into a voucher program and ‘shift costs’ onto seniors” and “even supported raising the retirement age.”,https://www.politifact.com/factchecks/2020/sep/14/mark-kelly/fact-checking-mark-kelly-martha-mcsallys-stance-me/,2020-09-14,Mark Kelly,mostly-true
193,"Says Karen Handel voted with Donald Trump, ""gutting health care for millions, supporting horrific child separation policies"" and for ""abortion bans.""",https://www.politifact.com/factchecks/2020/sep/14/lucy-mcbath/tying-trump-backer-karen-handel-trump-lucy-mcbath-/,2020-09-14,Lucy McBath,half-true
194,"Says Lucy McBath ""is supporting those who attack the police.""",https://www.politifact.com/factchecks/2020/sep/14/karen-handel/handels-own-ad-disproves-her-claim-mcbath-backs-th/,2020-09-14,Karen Handel,false
195,“Kroger Corporate says employees can not wear flag masks but they can wear BLM masks!”,https://www.politifact.com/factchecks/2020/sep/14/facebook-posts/kroger-employees-cant-wear-blm-or-american-flag-ma/,2020-09-14,Facebook posts,false
196,Says Donald Trump “let federal contractors double offshoring jobs in his first 18 months in office.”,https://www.politifact.com/factchecks/2020/sep/14/joe-biden/joe-bidens-offshoring-attack-donald-trump-needs-co/,2020-09-14,Joe Biden,half-true
197,"Says Donald Trump said, 'Africans Are Lazy, Good At Sex, Theft.'",https://www.politifact.com/factchecks/2020/sep/14/viral-image/no-trump-didnt-denigrate-africans-offensive-commen/,2020-09-14,Viral image,pants-fire
198,Photo shows a man who burned the car of an antifa member.,https://www.politifact.com/factchecks/2020/sep/14/viral-image/no-photo-doesnt-show-man-who-retaliated-against-an/,2020-09-14,Viral image,false
199,Photo shows “some of the firefighters in California fighting fires 24/7 to save people's lives and property.”,https://www.politifact.com/factchecks/2020/sep/13/facebook-posts/viral-photo-resting-firefighters-happened-tennesse/,2020-09-13,Facebook posts,false
200,“KXL Radio in Portland reported today that Firefighters are now being shot at by suspected Antifa and BLM members.”,https://www.politifact.com/factchecks/2020/sep/13/facebook-posts/fact-checking-misinformation-about-firefighters-an/,2020-09-13,Facebook posts,false
201,Says Joe Biden and Gretchen Whitmer were maskless at the Detroit Athletic Club “while OUR children are being mandated to wear a mask while playing outdoor sports.”,https://www.politifact.com/factchecks/2020/sep/11/viral-image/photo-biden-and-whitmer-was-taken-covid-19-cases-e/,2020-09-11,Viral image,false
202,"“Canada has just criminalized all CV19 measures requiring masks, distancing, quarantining & vaccines.”",https://www.politifact.com/factchecks/2020/sep/11/facebook-posts/no-canada-did-not-criminalize-covid-19-restriction/,2020-09-11,Facebook posts,false
203,Anti-poaching organizations dye elephant tusks and rhino horns with “the same pink dye that is used to mark stolen banknotes.”,https://www.politifact.com/factchecks/2020/sep/11/facebook-posts/anti-poaching-organizations-arent-dyeing-elephant-/,2020-09-11,Facebook posts,false
204,“Kenosha car dealer kills himself after insurance won’t cover … damages caused by the riots.”,https://www.politifact.com/factchecks/2020/sep/11/facebook-posts/fake-headline-claims-car-lot-owner-took-his-own-li/,2020-09-11,Facebook posts,pants-fire
205,"""After the last administration nearly killed the US auto industry, I saved the U.S. auto industry ... We brought you a lot of car plants… (and Japan) “announced five car companies are coming to Michigan.”",https://www.politifact.com/factchecks/2020/sep/11/donald-trump/trumps-michigan-car-industry-claims-veer-course/,2020-09-11,Donald Trump,false
206,“Pallet Company in Oregon City confirmed Antifa arsonist on camera. Douglas County Sheriff has 6 ANTIFA arsonists in custody.”,https://www.politifact.com/factchecks/2020/sep/11/paul-romero/oregon-law-enforcement-does-not-have-six-antifa-ar/,2020-09-11,Paul Romero,false
207,Says Joe Biden “will destroy your protections for pre-existing conditions.”,https://www.politifact.com/factchecks/2020/sep/11/donald-trump/donald-trumps-ridiculous-claim-about-joe-biden-and/,2020-09-11,Donald Trump,pants-fire
208,The “U.S. trade deficit is at an all-time high under Trump in the last three years.”,https://www.politifact.com/factchecks/2020/sep/11/joe-biden/us-trade-deficit-under-donald-trump-setting-record/,2020-09-11,Joe Biden,half-true
209,“There was tremendous cheating in New York”,https://www.politifact.com/factchecks/2020/sep/11/donald-trump/trumps-baseless-claim-about-tremendous-cheating-20/,2020-09-11,Donald Trump,pants-fire
210,Most of the wildfires on the West Coast are “all being started by antifa.”,https://www.politifact.com/factchecks/2020/sep/10/facebook-posts/antifa-activists-did-not-start-west-coast-wildfire/,2020-09-10,Facebook posts,false
211,“CDC announces that students may be kept from parents overnight as Ohio sets up COVID-19 FEMA camps.”,https://www.politifact.com/factchecks/2020/sep/10/instagram-posts/cdc-and-fema-arent-separating-students-and-parents/,2020-09-10,Instagram posts,pants-fire
212,"“Military COVID infected: 118,984. Military COVID deaths: 6,114.”",https://www.politifact.com/factchecks/2020/sep/10/joe-biden/joe-biden-mistook-michigans-covid-19-numbers-milit/,2020-09-10,Joe Biden,false
213,"“$400,000 ... is more money than I’ve ever made” in a year.",https://www.politifact.com/factchecks/2020/sep/10/joe-biden/fact-checking-joe-bidens-claim-about-his-own-incom/,2020-09-10,Joe Biden,barely-true
214,Says President Trump posted a combative tweet to EA Sports about Colin Kaepernick.,https://www.politifact.com/factchecks/2020/sep/10/facebook-posts/no-donald-trump-didnt-tweet-about-kaepernick-and-m/,2020-09-10,Facebook posts,pants-fire
215,"Says Rep. Alexandria Ocasio-Cortez and Eugene DePasquale support ""socialized medicine,"" the Green New Deal and defunding the police.",https://www.politifact.com/factchecks/2020/sep/10/scott-perry/pa-house-race-perry-fails-tie-depasquale-aoc-over-/,2020-09-10,Scott Perry,false
216,Olive Garden employees are allowed to wear Black Lives Matter masks “but NOT the American flag.”,https://www.politifact.com/factchecks/2020/sep/10/facebook-posts/olive-garden-hasnt-banned-american-flag-masks/,2020-09-10,Facebook posts,false
217,“Entire port in Delaware on lockdown? 60 plus kids in shipping containers.”,https://www.politifact.com/factchecks/2020/sep/10/facebook-posts/no-dozens-children-werent-found-shipping-container/,2020-09-10,Facebook posts,false
218,“The CDC has removed the ‘Covid-19 Pandemic’ and replaced it with ‘Covid-19 Outbreak’ on their website. It was never a pandemic.”,https://www.politifact.com/factchecks/2020/sep/10/facebook-posts/no-cdc-hasnt-stopped-calling-covid-19-pandemic/,2020-09-10,Facebook posts,pants-fire
219,"Election officials are “sending 80 million ballots all over the country. Eighty million ballots, non-requested. I call them ‘unsolicited ballots.’”",https://www.politifact.com/factchecks/2020/sep/10/donald-trump/trumps-misleading-claim-about-unsolicited-mail-bal/,2020-09-10,Donald Trump,barely-true
220,Countries were exporting COVID-19 “diagnostic test instruments” in 2018.,https://www.politifact.com/factchecks/2020/sep/10/facebook-posts/covid-19-tests-did-not-exist-2018/,2020-09-10,Facebook posts,false
221,Abigail Spanberger “has voted with Nancy Pelosi over 90% of the time…”,https://www.politifact.com/factchecks/2020/sep/09/nick-freitas/spanberger-has-voted-pelosi-relatively-low-92-time/,2020-09-09,Nick Freitas,true
222,Photo shows “‘kids in cages’ taken in 2014 under the Obama admin.”,https://www.politifact.com/factchecks/2020/sep/09/viral-image/photo-detained-child-migrants-2019-not-2014/,2020-09-09,Viral image,false
223,"""Under Operation Warp Speed, we’ve pioneered groundbreaking therapies, reducing the fatality rate 85% since April.”",https://www.politifact.com/factchecks/2020/sep/09/donald-trump/Trump-oversells-crediting-White-House-response/,2020-09-09,Donald Trump,half-true
224,Says President Donald Trump “never downplayed the virus.”,https://www.politifact.com/factchecks/2020/sep/09/kayleigh-mcenany/mcenany-says-trump-never-downplayed-virus-he-did-a/,2020-09-09,Kayleigh McEnany,pants-fire
225,"“Feds Seize 19,888 Fake State Driver Licenses (Made in China) in Chicago O'Hare Airport - ALL Registered to Vote -- ALL Demorats!”",https://www.politifact.com/factchecks/2020/sep/09/facebook-posts/no-link-between-seized-fake-ids-and-voter-fraud/,2020-09-09,Facebook posts,false
226,“Not one politician has died from the virus.”,https://www.politifact.com/factchecks/2020/sep/09/viral-image/politicians-have-died-covid-19/,2020-09-09,Viral image,false
227,"More than 500,000 mail in ballots in Virginia and 200,000 in Nevada were sent to dead people or pets",https://www.politifact.com/factchecks/2020/sep/09/facebook-posts/post-wrongly-says-thousands-ballots-sent-dead-peop/,2020-09-09,Facebook posts,false
228,"“NIKE has stated, ‘We’re a $76 billion dollar company that can afford to let go of all ‘Make America Great Again’ customers.”",https://www.politifact.com/factchecks/2020/sep/08/facebook-posts/no-nike-didnt-say-it-could-afford-lose-all-maga-cu/,2020-09-08,Facebook posts,false
229,Says Joe Biden “wants to put a 3% annual federal tax on your home.”,https://www.politifact.com/factchecks/2020/sep/08/facebook-posts/no-joe-biden-doesnt-want-impose-federal-tax-homes/,2020-09-08,Facebook posts,false
230,This video shows Trump looking “lost and disoriented.”,https://www.politifact.com/factchecks/2020/sep/08/instagram-posts/misleading-clip-trump-appearing-disoriented-white-/,2020-09-08,Instagram posts,false
231,"For younger people, seasonal flu is “in many cases” a deadlier virus than COVID-19",https://www.politifact.com/factchecks/2020/sep/08/ron-johnson/johnson-mostly-track-claim-flu-harder-kids-covid-1/,2020-09-08,Ron Johnson,mostly-true
232,Says “Kamala Harris is not able to be VP. Because she's a felon. She lied on her application to buy a gun here in CA.”,https://www.politifact.com/factchecks/2020/sep/08/facebook-posts/no-sen-kamala-harris-hasnt-been-convicted-felony/,2020-09-08,Facebook posts,pants-fire
233,“South Korea sprays rioters with dye so they can be identified & arrested later.”,https://www.politifact.com/factchecks/2020/sep/08/facebook-posts/south-korea-stopped-spraying-rioters-dye-mark-them/,2020-09-08,Facebook posts,barely-true
234,"“The post office right now, this year, is operating with about a $12 billion surplus.”",https://www.politifact.com/factchecks/2020/sep/06/darin-lahood/no-usps-isnt-operating-multibillion-dollar-surplus/,2020-09-06,Darin LaHood,pants-fire
235,"“A Black man invented the light bulb, not a white guy named Edison.”",https://www.politifact.com/factchecks/2020/sep/04/joe-biden/making-point-overlooked-black-history-biden-misses/,2020-09-04,Joe Biden,barely-true
236,"Says NBC News reported that Hillary Clinton ""covered up elite pedophile ring at state department.""",https://www.politifact.com/factchecks/2020/sep/04/blog-posting/website-exaggerates-old-news-report-state-departme/,2020-09-04,Bloggers,false
237,"“Kamala Harris wants the riots to continue and not let up, not now not even after the election.”",https://www.politifact.com/factchecks/2020/sep/04/youtube-videos/no-kamala-harris-didnt-say-she-wants-riots-continu/,2020-09-04,YouTube videos,false
238,"""I never called John (McCain) a loser.""",https://www.politifact.com/factchecks/2020/sep/04/donald-trump/yes-donald-trump-did-call-john-mccain-loser/,2020-09-04,Donald Trump,pants-fire
239,"“It cost taxpayers $120,000 to fly Nancy (Pelosi) to get her hair done.”",https://www.politifact.com/factchecks/2020/sep/04/facebook-posts/taxpayers-did-not-pay-120000-pelosis-hair-appointm/,2020-09-04,Facebook posts,false
240,"""If Trump gets his way, Social Security benefits will run out in just three years from now.”",https://www.politifact.com/factchecks/2020/sep/04/joe-biden/joe-biden-says-donald-trumps-plan-get-rid-payroll-/,2020-09-04,Joe Biden,barely-true
